date,rain,obs_flow,et,temp,,,
1967-07-17,0,,6.13,31,,,
1967-07-18,0,,4.99,26.2,,,
1967-07-19,0.88,,4.2,27.2,,,
1967-07-20,12.29,,5.15,28.4,,,
1967-07-21,1.32,,4.77,27.9,,,
1967-07-22,0.29,,4.96,27.8,,,
1967-07-23,0,,5.23,27.6,,,
1967-07-24,0,,4.19,26.1,,,
1967-07-25,0,,5.27,26.3,,,
1967-07-26,0,,3.03,25.5,,,
1967-07-27,0,,3.06,26.7,,,
1967-07-28,0.01,,5.5,28.2,,,
1967-07-29,0.19,,5.32,27.4,,,
1967-07-30,0,,4.76,27.8,,,
1967-07-31,0,,5.38,29.1,,,
1967-08-01,0,,6.08,30.8,,,
1967-08-02,0,,6.14,30.5,,,
1967-08-03,0.23,,5.79,30.2,,,
1967-08-04,0,,5.85,30.5,,,
1967-08-05,0.03,,5.45,29.7,,,
1967-08-06,5.43,,4.76,29.2,,,
1967-08-07,2.3,,4.12,27.7,,,
1967-08-08,2.72,,3.67,28.8,,,
1967-08-09,0.04,,5.15,31.8,,,
1967-08-10,0.02,,5.43,31,,,
1967-08-11,7.83,,4.92,29.5,,,
1967-08-12,0.95,,4.87,29.1,,,
1967-08-13,0.38,,4.86,28.3,,,
1967-08-14,3.05,,3.45,28.6,,,
1967-08-15,34.85,,4.01,29,,,
1967-08-16,4.53,,5.17,28.4,,,
1967-08-17,2.27,,3.81,26.9,,,
1967-08-18,0,,4.12,25,,,
1967-08-19,1.09,,4.03,25.7,,,
1967-08-20,0.01,,4.49,26.3,,,
1967-08-21,0,,4.94,25.3,,,
1967-08-22,0,,4.89,27.1,,,
1967-08-23,0.92,,5.47,29.6,,,
1967-08-24,1.5,,5.05,31.1,,,
1967-08-25,5.17,,3.09,27.4,,,
1967-08-26,0,,5.34,30.5,,,
1967-08-27,0.01,,3.08,28.7,,,
1967-08-28,7.25,,3.45,28.9,,,
1967-08-29,8.91,,2.49,24.5,,,
1967-08-30,2.53,,1.87,22.4,,,
